"RefDes","Value","Name"
"BOOT_JP","","BOOT_JP"
"C4","1uF","CAP0402"
"C5","4.7uF","CAP0402"
"C6","0.1uF","CAP0402"
"C7","2.2nF","CAP0402"
"C8","0.1uF","CAP0402"
"C9","0.1uF","CAP0402"
"C10","10nF","CAP0603-CAP"
"C12","100nF","CAP0402"
"C17","0.1uF","CAP0402"
"C18","0.1uF","CAP0402"
"C19","0.1uF","CAP0402"
"C20","0.1uF","CAP0402"
"D1","BLUE","LED0603"
"D3","GREEN","LED0603"
"LDO_MAIN","","LP2992"
"LulfroMini_Input1","","LulfroMini_Input"
"LulfroMini_Output1","","LulfroMini_Output"
"MPU1","","MPU9150"
"MS5611","","MS5611"
"R2","100R","RES0402"
"R3","1K","RES0402"
"R4","1K","RES0402"
"R5","1k","RES0402"
"R6","10K","RES0402"
"R7","1k","RES0402"
"R8","1K","RES0402"
"R9","100R","RES0402"
"R10","10K","RES0402"
"R11","10K","RES0402"
"RC5/6","","2PAD_SMALL"
"U1","","STM32F103CBT6"
"Y1","8MHz","RESONATOR16MHZ"
